"inventory_id","part_num","color_id","quantity"
38,"3062b",70,2
38,"3062b",15,5
38,"3062b",0,5
38,"3068b",70,1
38,"3068b",14,1
38,"3068b",4,15
38,"3068b",15,1
38,"3068b",2,1
38,"3069b",70,4
38,"3070b",15,10
38,"3298",14,4
38,"3298",4,3
38,"33006",320,1
38,"33048",484,1
38,"33057",484,4
38,"33057",366,2
38,"3308",15,2
38,"33183",10,3
38,"3460",70,3
38,"3622",70,2
38,"3622",4,4
38,"3623",19,2
38,"3626b",14,4
38,"3659",15,2
38,"3660",15,5
38,"3660",4,3
38,"3666",4,3
38,"3676",14,4
38,"3678b",0,1
38,"3710",0,2
38,"3710",4,2
38,"3710",70,2
38,"3741",2,11
38,"3742",15,3
38,"3742",5,3
38,"3742",4,2
38,"3742",15,1
38,"3742",4,6
38,"3742",5,9
38,"3747b",4,1
38,"3747b",14,4
38,"3794b",19,3
38,"3794b",2,1
38,"3795",19,5
38,"3795",4,3
38,"3795",25,2
38,"3837",72,1
38,"3839b",15,4
38,"3847",135,2
38,"3899",14,2
38,"3942c",15,2
38,"3942c",0,1
38,"3958",19,1
38,"3958",4,1
38,"3958",72,1
38,"3958",15,1
38,"4070",71,4
38,"4070",1,4
38,"4070",0,4
38,"4070",4,6
38,"4070",15,6
38,"4083",0,2
38,"4150",0,4
38,"4332",0,1
38,"4341",0,1
38,"43713",15,1
38,"43719",0,1
38,"43719",4,4
38,"44567a",14,4
38,"4477",70,4
38,"4495b",297,3
38,"4532",4,2
38,"4533",41,1
38,"4536",15,2
38,"4738a",70,2
38,"4739a",70,2
38,"4871",15,1
38,"49668",191,4
38,"49668",0,8
38,"50745",4,2
38,"54200",70,4
38,"54200",14,7
38,"54200",15,5
38,"59900",297,3
38,"6019",4,2
38,"60471",4,4
38,"60474",0,1
38,"6124",45,1
38,"6141",29,14
38,"6141",14,3
38,"6141",0,12
38,"6141",4,5
38,"6141",25,8
38,"6141",15,8
38,"6251",15,2
38,"6255",10,3
38,"6255",2,4
38,"63965",15,3
38,"64647",57,2
38,"6636",15,1
45,"12825",71,4
45,"2412b",179,1
45,"2437",40,2
45,"3004",288,2
45,"3005",288,2
45,"3020",72,1
45,"3023",288,2
45,"3023",15,2
45,"3024",36,2
45,"3024",36,1
45,"30374",71,2
45,"3069b",15,1
45,"3070b",288,1
45,"3070b",288,4
45,"3710",72,1
45,"3710",288,5
45,"3795",71,2
45,"4600",0,2
45,"4865b",19,2
45,"50944pr0001",0,4
45,"50951",0,4
45,"54200",288,1
45,"54200",288,2
45,"60212",0,2
45,"6141",0,1
45,"6141",0,1
45,"63864",288,2
45,"93273",15,1
45,"93274",0,2
45,"93604",15,1
45,"98138",47,1
45,"98138",47,2
45,"99780",71,1
49,"3003",14,1
49,"3004",1,1
49,"3020",1,1
49,"3022",4,1
49,"3023",4,1
49,"3024",14,2
49,"3039",4,1
49,"3040b",14,1
49,"3040b",1,2
49,"3298px11",14,1
49,"3660",14,1
49,"3665",14,2
49,"3665",1,2
49,"3710",4,1
49,"3710",14,2
49,"4286",14,3
49,"6141",15,1
49,"6141",15,2
52,"194cx1",7,4
52,"298c02",7,2
52,"3001",14,2
52,"3003",15,6
52,"3004",15,11
52,"3004",0,5
52,"3005",0,6
52,"3005",15,13
52,"3008",15,7
52,"3008",0,3
52,"3009",0,1
52,"3009",15,5
52,"3010",4,1
52,"3020",15,4
52,"3021",0,2
52,"3021",15,1
52,"3021",4,3
52,"3021",14,6
52,"3022",14,4
52,"3022",4,4
52,"3022",0,1
52,"3023",15,5
52,"3024",15,7
52,"3024",47,2
52,"3024",36,2
52,"3034",4,2
52,"3035",15,1
52,"3035",0,2
52,"3040p33",0,1
52,"3044p37",7,2
52,"3062b",14,5
52,"3062b",7,2
52,"3062b",4,1
52,"3068b",15,13
52,"3068b",7,3
52,"3069b",15,7
52,"3070b",15,2
52,"309p01",7,1
52,"3135",1,1
52,"3136",7,1
52,"3456",0,1
52,"3456",4,3
52,"3460",15,2
52,"3460",14,8
52,"3622",15,8
52,"3623",15,4
52,"3623",1,2
52,"3626apr0001",14,2
52,"3641",0,7
52,"3666",15,1
52,"3710",15,3
52,"3710",14,8
52,"3710",7,1
52,"3788",15,2
52,"3794a",15,2
52,"3795",15,1
52,"3821pb04",15,1
52,"3822pb04",15,1
52,"3823",47,1
52,"3829c01",4,1
52,"3852a",6,1
52,"3937",0,1
52,"3937",15,3
52,"3938",15,3
52,"3938",0,1
52,"3941p01",7,2
52,"4006",0,1
52,"4070",15,3
52,"4070",4,4
52,"4081a",15,4
