"id","creation_date","question_id","score"
36142679,2016-03-21,10154776,0
36142682,2016-03-21,36142511,3
36142686,2016-03-21,36142511,2
36142708,2016-03-21,36142511,1
36142753,2016-03-21,36048046,0
36142823,2016-03-21,36141747,3
36142898,2016-03-21,36142032,4
36143129,2016-03-21,36139761,0
36143150,2016-03-21,36141875,0
36143186,2016-03-21,36143119,9
36143264,2016-03-21,36143167,3
36143339,2016-03-21,36120961,0
36143364,2016-03-21,36141813,0
36143374,2016-03-21,36143218,1
36143511,2016-03-21,36141451,1
36143541,2016-03-21,36143167,0
36143624,2016-03-21,36134413,1
36143645,2016-03-21,36143167,2
36143650,2016-03-21,36143488,1
36143705,2016-03-21,34877350,10
36143706,2016-03-21,36139230,1
36143710,2016-03-21,36143615,0
36143723,2016-03-21,36143524,4
36143822,2016-03-21,36143214,0
36143883,2016-03-21,36141557,1
36143992,2016-03-22,35678172,0
36144077,2016-03-22,36143679,1
36144100,2016-03-22,36143307,0
36144255,2016-03-22,36143323,3
36144328,2016-03-22,36140487,0
36144412,2016-03-22,4964255,2
36144503,2016-03-22,36142798,1
36144515,2016-03-22,36110293,0
36144541,2016-03-22,36143488,0
36144676,2016-03-22,35905214,0
36144799,2016-03-22,36144499,3
36144865,2016-03-22,36133374,7
36144876,2016-03-22,36141419,1
36145055,2016-03-22,36143997,3
36145168,2016-03-22,36145061,1
36145191,2016-03-22,36144250,0
36145203,2016-03-22,36145061,3
36145235,2016-03-22,36145061,5
36145297,2016-03-22,35898700,0
36145300,2016-03-22,36144890,3
36145575,2016-03-22,36141875,1
36145604,2016-03-22,29522088,2
36145619,2016-03-22,36145428,0
36145644,2016-03-22,28350723,1
36145701,2016-03-22,36144890,2
36145777,2016-03-22,36145726,1
36145930,2016-03-22,36145262,1
36145994,2016-03-22,36142511,0
36146150,2016-03-22,36145891,1
36146237,2016-03-22,36146146,1
36146440,2016-03-22,36146432,0
36146733,2016-03-22,36055195,0
36146960,2016-03-22,36146851,1
36147233,2016-03-22,36146357,0
36147981,2016-03-22,35892111,0
36148088,2016-03-22,36139058,1
36148093,2016-03-22,36141334,2
36148209,2016-03-22,36138124,13
36148318,2016-03-22,36134140,0
36148451,2016-03-22,36145812,0
36149178,2016-03-22,36148829,2
36149654,2016-03-22,36063043,12
36149700,2016-03-22,36146562,0
36150238,2016-03-22,36148798,0
36150359,2016-03-22,36149027,2
36150957,2016-03-22,36143323,3
36151288,2016-03-22,36150533,0
36151344,2016-03-22,36151057,1
36151415,2016-03-22,36151320,5
36151427,2016-03-22,36151320,3
36151521,2016-03-22,36151166,1
36151737,2016-03-22,36151572,4
36151916,2016-03-22,36151166,2
36152110,2016-03-22,36151216,0
36152893,2016-03-22,36151572,4
36152906,2016-03-22,30301108,5
36153009,2016-03-22,36152788,1
36153142,2016-03-22,36153121,3
36153198,2016-03-22,18163153,4
36153212,2016-03-22,36152788,0
36153419,2016-03-22,36134840,5
36153512,2016-03-22,36153245,3
36153652,2016-03-22,36092595,1
36153714,2016-03-22,36153245,1
36153764,2016-03-22,31893559,3
36154317,2016-03-22,36153672,1
36154365,2016-03-22,19841204,5
36154958,2016-03-22,36128433,1
36154984,2016-03-22,35503633,2
36155317,2016-03-22,36142779,0
36155377,2016-03-22,36155348,7
36155481,2016-03-22,36155209,-1
36155507,2016-03-22,36153022,6
36155680,2016-03-22,36155575,4
36155698,2016-03-22,36154508,0
36156016,2016-03-22,36155553,0
36156069,2016-03-22,36154658,0
36156107,2016-03-22,36155091,0
36156282,2016-03-22,36155209,2
36156406,2016-03-22,36151968,1
36156445,2016-03-22,36155209,1
36156477,2016-03-22,11074665,0
36156565,2016-03-22,36156564,0
36156738,2016-03-22,36156192,1
36156855,2016-03-22,32763491,0
36156861,2016-03-22,36154706,1
36156958,2016-03-22,36156564,1
36156972,2016-03-22,34862474,3
36157265,2016-03-22,36156379,3
36157643,2016-03-22,36157437,6
36157827,2016-03-22,36142766,2
36158055,2016-03-22,24194789,0
36158086,2016-03-22,31745461,0
36158238,2016-03-22,36158017,5
36158254,2016-03-22,36158204,1
36158335,2016-03-22,36158178,0
36158350,2016-03-22,36158320,0
36158370,2016-03-22,36156192,0
36158392,2016-03-22,36142058,1
36158438,2016-03-22,36158069,0
36158480,2016-03-22,36158212,1
36158742,2016-03-22,36157049,0
36158762,2016-03-22,36158017,3
36158919,2016-03-22,36111859,0
36158955,2016-03-22,36158407,0
36159004,2016-03-22,36158984,2
36159165,2016-03-22,36158781,4
36159185,2016-03-22,36135900,0
36159469,2016-03-22,36159321,3
36159471,2016-03-22,36147539,1
36159601,2016-03-22,36159321,2
36159682,2016-03-22,36159037,2
36159853,2016-03-22,36158781,2
36160054,2016-03-22,36159979,2
36160079,2016-03-22,36158770,1
36160094,2016-03-22,36159933,4
36160137,2016-03-22,36159843,1
36160209,2016-03-22,36159037,3
36160255,2016-03-22,36159899,3
36160354,2016-03-22,36160170,4
36160404,2016-03-22,36160170,0
36160426,2016-03-22,25082235,5
36160644,2016-03-22,36160170,3
36160708,2016-03-22,36143679,1
36160793,2016-03-22,36160397,0
36160870,2016-03-22,36160351,0
36161167,2016-03-22,36160995,1
36161308,2016-03-22,36161097,0
36161386,2016-03-22,36161097,1
36161409,2016-03-22,9301186,1
36161412,2016-03-22,36161305,3
36161543,2016-03-22,36155403,0
36161629,2016-03-22,36160170,1
36161902,2016-03-22,32523544,12
36161998,2016-03-22,36160053,1
36162016,2016-03-22,36160751,4
36162108,2016-03-22,36161884,0
36162164,2016-03-22,36161760,10
36162519,2016-03-22,36065447,0
36162578,2016-03-22,36158638,3
36162636,2016-03-22,36162402,1
36162652,2016-03-22,36122913,2
36162727,2016-03-22,36162424,0
36162738,2016-03-22,36162424,0
36162867,2016-03-22,36162442,0
36162874,2016-03-22,36162721,1
36162923,2016-03-22,36162659,0
36163105,2016-03-22,36162726,2
36163154,2016-03-22,36049806,0
36163179,2016-03-22,36163082,3
36163272,2016-03-22,36162861,1
36163304,2016-03-22,36160669,2
36163424,2016-03-22,36163082,1
36163526,2016-03-22,36163082,3
36163593,2016-03-22,36115215,2
36163650,2016-03-22,36162861,1
36163661,2016-03-22,8076376,0
36163780,2016-03-22,36163440,4
36163831,2016-03-22,36163496,0
36163884,2016-03-22,36163684,1
36163885,2016-03-22,36156387,9
36163895,2016-03-22,36163440,0
36163920,2016-03-22,36163640,1
36163991,2016-03-22,33200179,1
36164135,2016-03-22,35108541,2
36164172,2016-03-22,36073302,0
36164214,2016-03-22,36162945,2
36164226,2016-03-22,36163890,1
36164280,2016-03-22,36150172,0
36164360,2016-03-22,36103842,2
36164374,2016-03-22,36164133,1
36164479,2016-03-22,36164067,0
36164481,2016-03-22,36164141,1
36164512,2016-03-22,36163890,0
36164590,2016-03-22,36164232,1
36164697,2016-03-22,36163890,0
36164742,2016-03-22,36164392,1
36164812,2016-03-22,36158017,3
36165165,2016-03-22,36145197,2
36165225,2016-03-22,36162945,2
36165491,2016-03-22,36163324,1
36165511,2016-03-22,36152511,5
36165679,2016-03-22,36165542,3
36165797,2016-03-22,36164571,1
36165844,2016-03-22,36165810,3
36165985,2016-03-22,36165958,0
36166081,2016-03-22,36165810,2
36166186,2016-03-22,36166155,1
36166247,2016-03-22,36166155,4
36166328,2016-03-22,36166155,1
36166330,2016-03-22,36166288,2
36166444,2016-03-22,36166370,2
36166472,2016-03-22,36166155,1
36166551,2016-03-22,29612471,0
36166561,2016-03-22,36153848,0
36166763,2016-03-22,36166638,3
36167296,2016-03-22,36166638,2
36167430,2016-03-22,36166006,0
36167443,2016-03-22,36166936,5
36167711,2016-03-23,18375969,-1
36167947,2016-03-23,36164448,2
36168006,2016-03-23,36162765,0
36168068,2016-03-23,36168025,4
36168157,2016-03-23,36162765,0
36168162,2016-03-23,36067533,10
36168177,2016-03-23,36168025,0
36168273,2016-03-23,36168041,1
36168351,2016-03-23,36152621,1
36168632,2016-03-23,36166714,0
36168635,2016-03-23,36125354,7
36168733,2016-03-23,36168579,2
36168830,2016-03-23,36168575,1
36168863,2016-03-23,36166714,0
36169007,2016-03-23,36165810,0
36169013,2016-03-23,35689956,0
36169023,2016-03-23,36162718,5
36169067,2016-03-23,36163624,0
36169211,2016-03-23,36168789,0
36169223,2016-03-23,36169073,-1
36169405,2016-03-23,36169335,2
36169629,2016-03-23,36169073,3
36169664,2016-03-23,36160742,0
36169739,2016-03-23,36169515,3
36170002,2016-03-23,36169537,3
36170106,2016-03-23,36163440,1
36170179,2016-03-23,36170157,4
36170212,2016-03-23,36168789,0
36170295,2016-03-23,36169335,0
36170319,2016-03-23,24829674,12
36170604,2016-03-23,36169273,4
36171397,2016-03-23,36171360,0
36171901,2016-03-23,36171719,2
36172236,2016-03-23,36152703,4
36172385,2016-03-23,2181902,22
36172389,2016-03-23,36169021,1
36172537,2016-03-23,36171554,4
36172596,2016-03-23,36171554,4
36172735,2016-03-23,36171265,1
36172782,2016-03-23,24914510,1
36172837,2016-03-23,36171554,3
36172859,2016-03-23,36172795,6
36172861,2016-03-23,36172795,2
36172878,2016-03-23,36172795,3
36172912,2016-03-23,31256470,0
36173092,2016-03-23,36171554,11
36173134,2016-03-23,36171689,1
36173681,2016-03-23,35179151,59
36173901,2016-03-23,36173736,3
36174435,2016-03-23,36174185,2
36174544,2016-03-23,36172788,0
36174562,2016-03-23,36172527,1
36174584,2016-03-23,36174109,0
36174990,2016-03-23,36174109,1
36175152,2016-03-23,36169823,0
36175545,2016-03-23,14852357,5
36175890,2016-03-23,36175691,0
36175998,2016-03-23,36067390,1
36176009,2016-03-23,36175529,4
36176069,2016-03-23,36175815,2
36176084,2016-03-23,36175391,6
36176091,2016-03-23,36175978,4
36176136,2016-03-23,36175815,5
36176187,2016-03-23,36175815,4
36176193,2016-03-23,36175815,10
36176309,2016-03-23,36176287,3
36176321,2016-03-23,36167048,1
36176494,2016-03-23,36176268,3
36176656,2016-03-23,36176355,1
36176735,2016-03-23,36176355,2
36176757,2016-03-23,36173472,1
36176787,2016-03-23,36175295,1
36176991,2016-03-23,36174471,1
36177254,2016-03-23,36176853,1
36177276,2016-03-23,29159534,0
36177409,2016-03-23,36176853,2
36177608,2016-03-23,36175815,4
36177817,2016-03-23,11979017,5
36178400,2016-03-23,36142258,0
36178529,2016-03-23,36178379,9
36178695,2016-03-23,36177384,1
36179151,2016-03-23,36172357,1
36179323,2016-03-23,36179178,-1
36179396,2016-03-23,36177928,1
36179508,2016-03-23,36179173,0
36179545,2016-03-23,36179152,1
36179684,2016-03-23,36179598,3
36179756,2016-03-23,36178808,0
36179908,2016-03-23,36175255,2
36180253,2016-03-23,36178808,1
36180766,2016-03-23,36180765,0
36180798,2016-03-23,36180381,2
36180958,2016-03-23,36180910,5
36181012,2016-03-23,36179844,10
36181022,2016-03-23,36174721,1
36181343,2016-03-23,1826519,14
36181389,2016-03-23,36180910,2
36181431,2016-03-23,36181213,1
36181983,2016-03-23,36181837,0
36182259,2016-03-23,36181777,1
36182353,2016-03-23,36181840,2
36182390,2016-03-23,36181361,0
36182427,2016-03-23,36182270,3
36182450,2016-03-23,36182147,0
36182489,2016-03-23,36182335,1
36182504,2016-03-23,36181067,1
36182521,2016-03-23,36182335,5
36182602,2016-03-23,36181219,0
36182640,2016-03-23,36182335,0
36182666,2016-03-23,36182335,4
36182721,2016-03-23,36181852,0
36182779,2016-03-23,36182335,1
36182838,2016-03-23,36181990,14
36182870,2016-03-23,36182557,1
36182956,2016-03-23,36182871,0
36182967,2016-03-23,36163775,0
36183143,2016-03-23,36182335,1
