id,creation_date,score
31182225,7/2/2015,0
31182226,7/2/2015,1
31182343,7/2/2015,2
31182418,7/2/2015,6
31182761,7/2/2015,-1
31183091,7/2/2015,0
31183191,7/2/2015,1
31183466,7/2/2015,0
31183549,7/2/2015,1
31183589,7/2/2015,6
31183949,7/2/2015,1
31184157,7/2/2015,0
31184164,7/2/2015,1
31184228,7/2/2015,2
31184386,7/2/2015,1
31184489,7/2/2015,0
31184498,7/2/2015,0
31184918,7/2/2015,46
31184931,7/2/2015,2
31184968,7/2/2015,2
31185284,7/2/2015,1
31185513,7/2/2015,1
31185522,7/2/2015,3
31185946,7/2/2015,6
31186177,7/2/2015,0
31186266,7/2/2015,0
31186427,7/2/2015,-2
31186743,7/2/2015,0
31187203,7/2/2015,1
31187204,7/2/2015,4
31187364,7/2/2015,2
31187463,7/2/2015,0
31187561,7/2/2015,3
31187677,7/2/2015,1
31187694,7/2/2015,0
31187875,7/2/2015,5
31187900,7/2/2015,1
31188023,7/2/2015,6
31188318,7/2/2015,4
31188377,7/2/2015,2
31188529,7/2/2015,1
31188564,7/2/2015,0
31188628,7/2/2015,3
31188915,7/2/2015,2
31189219,7/2/2015,3
31189521,7/2/2015,1
31189904,7/2/2015,0
31190468,7/2/2015,5
31190491,7/2/2015,0
31190582,7/2/2015,1
31190659,7/2/2015,2
31190721,7/2/2015,2
31190758,7/2/2015,0
31190863,7/2/2015,2
31190930,7/2/2015,6
31191167,7/2/2015,1
31191209,7/2/2015,1
31191337,7/2/2015,0
31191568,7/2/2015,-1
31191962,7/2/2015,2
31192006,7/2/2015,5
31192123,7/2/2015,0
31192186,7/2/2015,3
31192300,7/2/2015,1
31192410,7/2/2015,0
31192986,7/2/2015,1
31193101,7/2/2015,5
31193320,7/2/2015,0
31193451,7/2/2015,4
31193771,7/2/2015,4
31193843,7/2/2015,8
31193861,7/2/2015,2
31193937,7/2/2015,3
31194145,7/2/2015,0
31194178,7/2/2015,0
31194287,7/2/2015,0
31194317,7/2/2015,1
31194375,7/2/2015,2
31194466,7/2/2015,1
31194858,7/2/2015,3
31194888,7/2/2015,3
31194898,7/2/2015,2
31195277,7/2/2015,2
31195416,7/2/2015,2
31195542,7/2/2015,0
31195925,7/2/2015,14
31196171,7/2/2015,1
31196176,7/2/2015,1
31196199,7/2/2015,0
31196220,7/2/2015,3
31196431,7/2/2015,4
31196542,7/3/2015,3
31196811,7/3/2015,1
31196917,7/3/2015,5
31197313,7/3/2015,3
31197726,7/3/2015,1
31197934,7/3/2015,3
31198063,7/3/2015,1
31198113,7/3/2015,2
31198144,7/3/2015,5
31198471,7/3/2015,2
31198584,7/3/2015,5
31198627,7/3/2015,0
31198689,7/3/2015,2
31198863,7/3/2015,6
31199380,7/3/2015,1
31199429,7/3/2015,2
31199681,7/3/2015,1
31199838,7/3/2015,0
31199868,7/3/2015,0
31200254,7/3/2015,11
31200597,7/3/2015,2
31200748,7/3/2015,3
31200972,7/3/2015,14
31201561,7/3/2015,3
31202086,7/3/2015,1
31202310,7/3/2015,3
31202848,7/3/2015,0
31203201,7/3/2015,0
31203446,7/3/2015,0
31203711,7/3/2015,0
31203804,7/3/2015,1
31203843,7/3/2015,4
31203844,7/3/2015,0
31203868,7/3/2015,1
31203985,7/3/2015,3
31204307,7/3/2015,1
31204586,7/3/2015,2
31205016,7/3/2015,7
31205032,7/3/2015,0
31205189,7/3/2015,0
31205344,7/3/2015,3
31205534,7/3/2015,5
31205544,7/3/2015,2
31205554,7/3/2015,2
31206019,7/3/2015,-1
31206735,7/3/2015,3
31207085,7/3/2015,0
31207186,7/3/2015,4
31249261,7/3/2015,0
31207456,7/3/2015,1
31207788,7/3/2015,0
31207910,7/3/2015,2
31208051,7/3/2015,1
31208166,7/3/2015,1
31208175,7/3/2015,0
31208552,7/3/2015,1
31209100,7/3/2015,0
31209101,7/3/2015,2
31209137,7/3/2015,2
31209328,7/3/2015,1
31209388,7/3/2015,3
31209425,7/3/2015,3
31209715,7/3/2015,2
31209828,7/3/2015,2
31209923,7/3/2015,0
31210025,7/3/2015,0
31210331,7/3/2015,2
31210438,7/3/2015,2
31210662,7/3/2015,2
31210663,7/3/2015,1
31210688,7/3/2015,1
31210835,7/3/2015,3
31211457,7/3/2015,3
31211640,7/3/2015,1
31211971,7/3/2015,1
31211984,7/3/2015,2
31212054,7/3/2015,19
31212659,7/3/2015,19
31212723,7/3/2015,8
31212738,7/3/2015,3
31213003,7/3/2015,2
31213280,7/3/2015,0
31213349,7/3/2015,0
31213383,7/3/2015,0
31213402,7/3/2015,3
31214039,7/3/2015,2
31214043,7/3/2015,0
31214266,7/3/2015,1
31214361,7/3/2015,2
31214390,7/3/2015,0
31214524,7/3/2015,20
31214612,7/3/2015,0
31214716,7/3/2015,0
31215097,7/3/2015,0
31215304,7/3/2015,1
31215440,7/3/2015,0
31215521,7/4/2015,0
31215748,7/4/2015,11
31215795,7/4/2015,2
31216130,7/4/2015,1
31216151,7/4/2015,3
31216181,7/4/2015,6
31216188,7/4/2015,2
31216193,7/4/2015,0
31216299,7/4/2015,4
31216312,7/4/2015,0
31216315,7/4/2015,2
31216951,7/4/2015,0
31217130,7/4/2015,3
31217189,7/4/2015,2
31217815,7/4/2015,0
31217829,7/4/2015,3
31218163,7/4/2015,0
31218590,7/4/2015,15
31219070,7/4/2015,3
31219270,7/4/2015,1
31220213,7/4/2015,0
31220307,7/4/2015,-1
31220495,7/4/2015,1
31220557,7/4/2015,1
31220586,7/4/2015,2
31220677,7/4/2015,2
31220940,7/4/2015,5
31221065,7/4/2015,4
31221149,7/4/2015,1
31221186,7/4/2015,0
31221367,7/4/2015,1
31221400,7/4/2015,3
31221471,7/4/2015,4
31221981,7/4/2015,17
31222340,7/4/2015,0
31222439,7/4/2015,-1
31223092,7/4/2015,3
31223135,7/4/2015,2
31223818,7/4/2015,6
31223821,7/4/2015,0
31223954,7/4/2015,1
31223958,7/4/2015,2
31224010,7/4/2015,0
31224119,7/4/2015,2
31224234,7/4/2015,0
31224575,7/4/2015,-1
31225338,7/4/2015,1
31225686,7/4/2015,3
31225715,7/4/2015,6
31225851,7/4/2015,2
31225891,7/4/2015,0
31225918,7/4/2015,3
31226377,7/5/2015,2
31226404,7/5/2015,2
31226456,7/5/2015,0
31226659,7/5/2015,2
31226752,7/5/2015,1
31227053,7/5/2015,0
31227299,7/5/2015,2
31227571,7/5/2015,2
31227658,7/5/2015,2
31227880,7/5/2015,1
31228075,7/5/2015,1
31228209,7/5/2015,0
31228362,7/5/2015,8
31228718,7/5/2015,0
31228741,7/5/2015,0
31228962,7/5/2015,3
31229616,7/5/2015,1
31230124,7/5/2015,4
31230217,7/5/2015,3
31230463,7/5/2015,2
31230752,7/5/2015,1
31230934,7/5/2015,2
31230946,7/5/2015,0
31231366,7/5/2015,0
31231505,7/5/2015,5
31232066,7/5/2015,1
31232102,7/5/2015,2
31232168,7/5/2015,1
31232521,7/5/2015,6
31232765,7/5/2015,9
31233150,7/5/2015,0
31233504,7/5/2015,-1
31233685,7/5/2015,2
31234126,7/5/2015,0
31234443,7/5/2015,3
31234483,7/5/2015,-1
31234621,7/5/2015,8
31235165,7/5/2015,3
31235214,7/5/2015,-2
31235227,7/5/2015,8
31235660,7/5/2015,1
31235765,7/5/2015,11
31236153,7/5/2015,2
31236384,7/6/2015,3
31236486,7/6/2015,4
31236515,7/6/2015,0
31236585,7/6/2015,4
31236964,7/6/2015,1
31237120,7/6/2015,0
31237282,7/6/2015,0
31237348,7/6/2015,4
31237390,7/6/2015,4
31237527,7/6/2015,2
31238013,7/6/2015,3
31238284,7/6/2015,4
